FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_NUMBER,StreetNumber,StreetName,CCHLO_Code,CCLHO_Name,FIPS_Couunty_Code
60000196,"ANAHEIM HEALTHCARE CENTER, LLC",SNF,SKILLED NURSING FACILITY,LTC,250,501 S BEACH BLVD,ANAHEIM,92804,"MARTINEZ, GERMAN",ADMIN@ANAHEIMHEALTHCARE.COM,(714) 828-2791,(714) 816-0540,400,ORANGE,6,ORANGE COUNTY,Y,60000077,"ANAHEIM HEALTHCARE CENTER, LLC",1-Jun-75,18-Jun-15,,PROFIT CORP,33.82622,-117.99348,"(33.82622, -117.99348)",,501,S BEACH BLVD,30,ORANGE,59
60000207,LESTONNAC FREE CLINIC,FREEC,"COMMUNITY CLINIC 	",Non-LTC,0,1215 E CHAPMAN AVE,ORANGE,92866,"GERBER, EDWARD F",EGERBER@LESTONNACFREECLINIC.ORG,(714) 633-1412,(714) 633-4600,400,ORANGE,6,ORANGE COUNTY,Y,60000070,"LESTONNAC FREE CLINIC, INC.",19-Dec-85,18-Dec-15,,NONPROFIT CORP,33.787876,-117.840547,"(33.787876, -117.840547)",306300230,1215,E CHAPMAN AVE,30,ORANGE,59
60000208,ORANGE COAST MEMORIAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,Non-LTC,218,9920 TALBERT AVE,FOUNTAIN VALLEY,92708,"MANKER, MARCIA",CSHINAR@MEMORIALCARE.ORG,(714) 378-7474,(714) 378-7000,400,ORANGE,6,ORANGE COUNTY,Y,60000066,ORANGE COAST MEMORIAL MEDICAL CENTER,1-Feb-86,14-Jan-16,,NONPROFIT CORP,33.701636,-117.956126,"(33.701636, -117.956126)",106300225,9920,TALBERT AVE,30,ORANGE,59
60000209,BETHESDA LUTHERAN COMMUNITIES - DAPHNE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,24826 DAPHNE W,MISSION VIEJO,92691,"SHAKERI, ALMA",CHRISTOPHER.TAYLOR2@MAILBLC.ORG,(949) 600-6969,(949) 342-8505,400,ORANGE,6,ORANGE COUNTY,Y,60000203,"BETHESDA LUTHERAN COMMUNITIES, INC.",22-Jan-87,20-Jan-16,,NONPROFIT CORP,33.601625,-117.677578,"(33.601625, -117.677578)",,24826,DAPHNE W,30,ORANGE,59
60000210,BETHESDA LUTHERAN COMMUNITIES - OSPREY,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,24411 OSPREY ST,LAKE FOREST,92630,"KITTELSEN, CARMEL",CHRISTOPHER.TAYLOR2@MAILBLC.ORG,(949) 600-6969,(949) 433-8986,400,ORANGE,6,ORANGE COUNTY,Y,60000065,"BETHESDA LUTHERAN COMMUNITIES, INC.",21-Jan-87,20-Jan-16,,NONPROFIT CORP,33.624656,-117.704566,"(33.624656, -117.704566)",,24411,OSPREY ST,30,ORANGE,59
60000233,LA AMISTAD FAMILY HEALTH CENTER,COMTYC,"COMMUNITY CLINIC 	",Non-LTC,0,353 S MAIN ST,ORANGE,92868,"BROWN, TIMOTHY J",TIMOTHY.BROWN@STJOE.ORG,(714) 449-0726,(714) 449-0726,400,ORANGE,6,ORANGE COUNTY,Y,60000067,ST. JUDE NEIGHBORHOOD HEALTH CENTERS,27-Nov-85,4-May-16,,NONPROFIT CORP,33.782936,-117.867268,"(33.782936, -117.867268)",306300226,353,S MAIN ST,30,ORANGE,59
60000255,PALM TERRACE HEALTHCARE & REHABILITATION CENTER,SNF,SKILLED NURSING FACILITY,LTC,99,24962 CALLE ARAGON,LAGUNA WOODS,92637,"HUEFNER, MATT",ADHINGRA@ENSIGNGROUP.NET,(949) 951-3174,(949) 587-9000,400,ORANGE,6,ORANGE COUNTY,Y,60000226,GATE THREE HEALTHCARE LLC,18-Mar-87,2-Nov-15,,LIMITED LIABILITY COMPANY,33.599561,-117.715317,"(33.599561, -117.715317)",206304002,24962,CALLE ARAGON,30,ORANGE,59
60000258,OPHTHALMOLOGY MEDICAL CENTER,ASC,"SURGICAL CLINIC 	",Non-LTC,0,26701 CROWN VALLEY PKWY,MISSION VIEJO,92691,,,,(949) 582-2642,400,ORANGE,6,ORANGE COUNTY,Y,,,,,,,33.563981,-117.664343,"(33.563981, -117.664343)",,26701,CROWN VALLEY PKWY,30,ORANGE,59
60000259,"PACIFIC HILLS SURGERY CENTER, LLC",ASC,"SURGICAL CLINIC 	",Non-LTC,0,24022 CALLE DE LA PLATA,LAGUNA HILLS,92653,"SEXTON, GEORGE",GSEXTON@TLCVISION.COM,(949) 951-9478,(949) 458-3551,400,ORANGE,6,ORANGE COUNTY,Y,60000309,"PACIFIC HILLS SURGERY CENTER, INC.",5-Sep-91,5-Nov-08,,PROFIT CORP,33.610442,-117.711101,"(33.610442, -117.711101)",,24022,CALLE DE LA PLATA,30,ORANGE,59
60000260,ORANGE COUNTY EYE SURGICAL CENTER,ASC,"SURGICAL CLINIC 	",Non-LTC,0,12665 GARDEN GROVE BLVD,GARDEN GROVE,92843,,,,(714) 534-8373,400,ORANGE,6,ORANGE COUNTY,Y,,,,,,,33.774504,-117.912251,"(33.774504, -117.912251)",,12665,GARDEN GROVE BLVD,30,ORANGE,59
60000264,PLANNED PARENTHOOD/ORANGE & SAN BERNARDINO CO.,COMTYC,"COMMUNITY CLINIC 	",Non-LTC,0,1421 E 17TH ST,SANTA ANA,92705,"DUNN, JON",AMANDA.FULTS@PPOSBC.ORG,(714) 532-2522,(714) 633-6373,400,ORANGE,6,ORANGE COUNTY,Y,60000008,"PLANNED PARENTHOOD/ORANGE & SAN BERNARDINO CO.,INC",17-Feb-78,17-Feb-16,,NONPROFIT CORP,33.759959,-117.847821,"(33.759959, -117.847821)",306304334,1421,E 17TH ST,30,ORANGE,59
60000497,CAMINO HEALTH CENTER,COMTYC,"COMMUNITY CLINIC 	",Non-LTC,0,30300 CAMINO CAPISTRANO,SAN JUAN CAPISTRANO,92675,"DREW, DEBRA",,(949) 429-7627,(949) 240-2030,400,ORANGE,6,ORANGE COUNTY,Y,60000060,CAMINO HEALTH CENTER,5-Mar-86,1-Nov-15,,NONPROFIT CORP,33.523431,-117.668091,"(33.523431, -117.668091)",306304335,30300,CAMINO CAPISTRANO,30,ORANGE,59
60000516,"INDEPENDENT OPTIONS, INC. NUTWOOD HOUSE",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2331 NUTWOOD AVE,FULLERTON,92831,"HILLMAN, HELEN",IO@INDEPENDENTOPTIONS.ORG,(951) 279-4860,(714) 738-5917,400,ORANGE,6,ORANGE COUNTY,Y,60000073,"INDEPENDENT OPTIONS, INC.",9-Oct-86,9-Nov-15,,PROFIT CORP,33.877731,-117.890892,"(33.877731, -117.890892)",,2331,NUTWOOD AVE,30,ORANGE,59
60000517,"INDEPENDENT OPTIONS, INC. STANLEY HOUSE",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1737 STANLEY AVE,PLACENTIA,92870,"HILLMAN, HELEN",IO@INDEPENDENTOPTIONS.ORG,(951) 279-4860,(714) 996-1755,400,ORANGE,6,ORANGE COUNTY,Y,60000074,"INDEPENDENT OPTIONS, INC.",20-Oct-86,20-Nov-15,,PROFIT CORP,33.894127,-117.869736,"(33.894127, -117.869736)",,1737,STANLEY AVE,30,ORANGE,59
60001966,AGMG ENDOSCOPY CENTER,ASC,"SURGICAL CLINIC 	",Non-LTC,0,1211 W LA PALMA AVE,ANAHEIM,92801,"CHOWING, IRENE",,,(714) 284-0737,400,ORANGE,6,ORANGE COUNTY,Y,,,,,,,33.847167,-117.93404,"(33.847167, -117.93404)",,1211,W LA PALMA AVE,30,ORANGE,59
60000518,"INDEPENDENT OPTIONS, INC. DIAMOND HOUSE",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,512 DIAMOND RD,PLACENTIA,92870,"HILLMAN, HELEN",IO@INDEPENDENTOPTIONS.ORG,(951) 279-4860,(714) 996-1754,400,ORANGE,6,ORANGE COUNTY,Y,60000075,"INDEPENDENT OPTIONS, INC.",23-Oct-86,23-Nov-15,,PROFIT CORP,33.877263,-117.872874,"(33.877263, -117.872874)",,512,DIAMOND RD,30,ORANGE,59
60000527,"MEMORIALCARE HOME HEALTH, LLC",HHA,"HOME HEALTH AGENCY		",Non-LTC,0,23521 PASEO DE VALENCIA,LAGUNA HILLS,92653,"REINARZ, CHRISTIAN R",HR@MEMCAREHH.COM,(949)627-8014,(949) 460-1500,400,ORANGE,6,ORANGE COUNTY,Y,60000218,"MEMORIALCARE HOME HEALTH, LLC",1-Jul-86,27-Feb-16,,LIMITED LIABILITY COMPANY,33.615058,-117.710497,"(33.615058, -117.710497)",406301237,23521,PASEO DE VALENCIA,30,ORANGE,59
60000543,HUNTINGTON BEACH HOSPITAL D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,25,17772 BEACH BLVD,HUNTINGTON BEACH,92647,"BOTTICELLA, MARY",,,(714) 842-1473,400,ORANGE,6,ORANGE COUNTY,N,60000124,"PRIME HEALTHCARE HUNTINGTON BEACH, LLC",24-Jan-68,30-Nov-15,,LIMITED LIABILITY COMPANY,33.703988,-117.989031,"(33.703988, -117.989031)",106301209,17772,BEACH BLVD,30,ORANGE,59
60000547,SEA CLIFF HEALTHCARE CENTER D/P ICF,ICF,INTERMEDIATE CARE FACILITY,LTC,59,18811 FLORIDA ST,HUNTINGTON BEACH,92648,"RODRIGUEZ, FERNANDO",,,(714) 847-3515,400,ORANGE,6,ORANGE COUNTY,N,60000123,HB HEALTHCARE ASSOCIATES LLC,1-Jul-70,2-Nov-15,,LIMITED LIABILITY COMPANY,33.688994,-117.99105,"(33.688994, -117.99105)",206301208,18811,FLORIDA ST,30,ORANGE,59
60000561,BETHESDA LUTHERAN COMMUNITIES  - MOSQUERO,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,24575 MOSQUERO LN,MISSION VIEJO,92691,"LICHT, STEPHANIE",CHRISTOPHER.TAYLOR2@MAILBLC.ORG,(949) 600-6969,(949) 335-8977,400,ORANGE,6,ORANGE COUNTY,Y,60000220,"BETHESDA LUTHERAN COMMUNITIES, INC.",21-Jan-87,20-Jan-16,,NONPROFIT CORP,33.606115,-117.663589,"(33.606115, -117.663589)",,24575,MOSQUERO LN,30,ORANGE,59
60000574,SOUTH COUNTY ADULT DAY SERVICES,ADHC,"ADULT DAY HEALTH CARE		",Non-LTC,0,24300 EL TORO RD,LAGUNA WOODS,92637,"VEGA, MALLORY",RHAKIMI@MYAGEWELL.ORG,(949) 855-4093,(949) 855-9444,400,ORANGE,6,ORANGE COUNTY,Y,60000229,SOCAL SENIOR SERVICES LLC,30-Jun-93,2-May-16,,LIMITED LIABILITY COMPANY,33.607883,-117.732414,"(33.607883, -117.732414)",,24300,EL TORO RD,30,ORANGE,59
60000631,LOS ANGELES COUNTY OLIVE VIEW-UCLA MED CTR D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,52,14445 OLIVE VIEW DR,SYLMAR,91342,"ANDERSON, MELINDA",,,(818) 364-1555,200,LOS ANGELES,6,ORANGE COUNTY,N,60000133,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,20-Nov-59,8-May-16,,COUNTY,34.324072,-118.450899,"(34.324072, -118.450899)",106191231,14445,OLIVE VIEW DR,19,LOS ANGELES,37
60000655,ANAHEIM GLOBAL MEDICAL CENTER D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,90,1025 S ANAHEIM BLVD,ANAHEIM,92805,"RAFFERTY, PATRICK",,,(714) 533-6220,400,ORANGE,6,ORANGE COUNTY,N,60000117,"ANAHEIM GLOBAL MEDICAL CENTER, INC.",29-Dec-72,8-Mar-16,,PROFIT CORP,33.820553,-117.909071,"(33.820553, -117.909071)",,1025,S ANAHEIM BLVD,30,ORANGE,59
60000656,SOUTH ORANGE COUNTY OUTPATIENT SURGERY CENTER INC,ASC,"SURGICAL CLINIC 	",Non-LTC,0,665 CAMINO DE LOS MARES,SAN CLEMENTE,92673,,,,(949) 493-5411,400,ORANGE,6,ORANGE COUNTY,Y,,,,,,,33.457357,-117.648367,"(33.457357, -117.648367)",,665,CAMINO DE LOS MARES,30,ORANGE,59
60000673,ST. JOSEPH HOSPITAL D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,37,1100 W STEWART DR,ORANGE,92868,"NOCE JR., WALTER",,,(714) 633-9111,400,ORANGE,6,ORANGE COUNTY,N,60000172,ST. JOSEPH HOSPITAL OF ORANGE,27-Oct-64,2-May-16,,NONPROFIT CORP,33.782315,-117.864857,"(33.782315, -117.864857)",,1100,W STEWART DR,30,ORANGE,59
60000690,MISSION HOSPITAL LAGUNA BEACH D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,36,31872 COAST HWY,LAGUNA BEACH,92651,"IRISH, GARY",,,(949) 499-1311,400,ORANGE,6,ORANGE COUNTY,N,60000146,MISSION HOSPITAL REGIONAL MEDICAL CENTER,10-Aug-71,18-Mar-16,,NONPROFIT CORP,33.499727,-117.74224,"(33.499727, -117.74224)",106301337,31872,COAST HWY,30,ORANGE,59
60000697,LAC/HARBOR-UCLA MEDICAL CENTER D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,38,1000 W CARSON ST,TORRANCE,90502,"MICKOSEFF, TECLA",,,(310) 222-2345,200,LOS ANGELES,6,ORANGE COUNTY,N,60000129,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1-Jul-53,1-May-16,,COUNTY,33.831559,-118.294558,"(33.831559, -118.294558)",,1000,W CARSON ST,19,LOS ANGELES,37
60000700,LAC+USC MEDICAL CENTER D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,76,1200 N STATE ST,LOS ANGELES,90033,"RUNKE, DAVID",,,(323) 226-6853,200,LOS ANGELES,6,ORANGE COUNTY,N,60000130,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1-Jul-53,1-Apr-16,,COUNTY,34.060748,-118.20895,"(34.060748, -118.20895)",,1200,N STATE ST,19,LOS ANGELES,37
60000714,LOS ALAMITOS MEDICAL CENTER D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,25,3751 KATELLA AVE,LOS ALAMITOS,90720,"FINNEY, MICHELLE",,,(714) 826-6400,400,ORANGE,6,ORANGE COUNTY,N,60000142,"LOS ALAMITOS MEDICAL CENTER, INC.",1-Jan-70,31-May-16,,PROFIT CORP,33.803468,-118.066345,"(33.803468, -118.066345)",106301248,3751,KATELLA AVE,30,ORANGE,59
60000715,LAKE FOREST NURSING CENTER,SNF,SKILLED NURSING FACILITY,LTC,175,25652 OLD TRABUCO RD,LAKE FOREST,92630,"VELASCO-FORTUNE, ROSIE",,(949)380-1499,(949) 380-9380,400,ORANGE,6,ORANGE COUNTY,Y,60000230,EL TORO MEDICAL INVESTORS LIMITED PARTNERSHIP,26-Jun-89,26-Jun-16,,PARTNERSHIP,33.645359,-117.683184,"(33.645359, -117.683184)",206304007,25652,OLD TRABUCO RD,30,ORANGE,59
60000731,PLASTIC SURGERY ASSOCIATES OF ORANGE COUNTY,ASC,"SURGICAL CLINIC 	",Non-LTC,0,1310 W STEWART DR,ORANGE,92868,"TURPIN, IVAN",,,(714)997-4300,400,ORANGE,6,ORANGE COUNTY,Y,,,,,,,33.782365,-117.866453,"(33.782365, -117.866453)",,1310,W STEWART DR,30,ORANGE,59
60000735,LAC/MARTIN L. KING JR./DREW MED. CTR. D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,76,12021 WILMINGTON AVE,LOS ANGELES,90059,"RUNKE, DAVID",,,(310) 668-8123,200,LOS ANGELES,6,ORANGE COUNTY,N,60000132,MARTIN LUTHER KING JR HEALTHCARE CORPORATION,,1-Mar-16,,NONPROFIT CORP,33.923582,-118.239167,"(33.923582, -118.239167)",,12021,WILMINGTON AVE,19,LOS ANGELES,37
60000738,SHARE OUR SELVES COMMUNITY HEALTH CENTER,COMTYC,"COMMUNITY CLINIC 	",Non-LTC,0,1550 SUPERIOR AVE,COSTA MESA,92627,"MAYORGA, MD, JOSE",SSERGEYEV@SHAREOURSELVES.ORG,(949) 515-5804,(949) 270-2111,400,ORANGE,6,ORANGE COUNTY,Y,60000232,SHARE OUR SELVES CORPORATION,3-Aug-87,23-Nov-15,,NONPROFIT CORP,33.632962,-117.926689,"(33.632962, -117.926689)",306304013,1550,SUPERIOR AVE,30,ORANGE,59
60000765,NEW ORANGE HILLS,SNF,SKILLED NURSING FACILITY,LTC,145,5017 E CHAPMAN AVE,ORANGE,92869,"FLOOD, STEPHEN",,,(714) 997-7090,400,ORANGE,6,ORANGE COUNTY,Y,60000233,"NEW ORANGE HILLS, INC.",23-Oct-87,1-Jun-15,,PROFIT CORP,33.787746,-117.799544,"(33.787746, -117.799544)",,5017,E CHAPMAN AVE,30,ORANGE,59
60000776,COLLEGE HOSPITAL COSTA MESA,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,301 VICTORIA ST,COSTA MESA,92627,,,,,400,ORANGE,6,ORANGE COUNTY,N,60000100,"CHCM, INC.",1-Sep-87,1-Nov-15,,PROFIT CORP,33.65258,-117.911935,"(33.65258, -117.911935)",,301,VICTORIA ST,30,ORANGE,59
60000777,COLLEGE HOSPITAL COSTA MESA D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,99,301 VICTORIA ST,COSTA MESA,92627,"LINGENFELTER, WAYNE",,,(949) 642-2734,400,ORANGE,6,ORANGE COUNTY,N,60000100,"CHCM, INC.",1-Sep-87,1-Nov-15,,PROFIT CORP,33.65258,-117.911935,"(33.65258, -117.911935)",106301155,301,VICTORIA ST,30,ORANGE,59
60000784,UCP/SCF BUENA PARK,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,15,8361 KNOTT AVE,BUENA PARK,90620,"BRIGGS, SHELLY",SBRIGGS@UCPLA.ORG,(818)909-9106,(714) 229-0251,400,ORANGE,6,ORANGE COUNTY,Y,60000237,UNITED CEREBRAL PALSY/SPASTIC CHILDREN'S FOUNDATION OF LOS ANGELES & VTA,2-Feb-88,2-Feb-16,,NONPROFIT CORP,33.840765,-118.011155,"(33.840765, -118.011155)",,8361,KNOTT AVE,30,ORANGE,59
60000787,UNIVERSITY OF CALIFORNIA IRVINE MED. CTR. D/P APH,APH,"ACUTE PSYCHIATRIC HOSPITAL		",Non-LTC,48,101 THE CITY DR S,ORANGE,92868,"CYGAN, RALPH",,,(714) 456-6011,400,ORANGE,6,ORANGE COUNTY,N,60000148,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,,1-Nov-15,,UC REGENT,33.786192,-117.888881,"(33.786192, -117.888881)",,101,THE CITY DR S,30,ORANGE,59
60000835,ANAHEIM V.I.P.ADULT DAY HEALTH CARE CENTER,ADHC,"ADULT DAY HEALTH CARE		",Non-LTC,0,1156 N KNOLLWOOD CIR,ANAHEIM,92801,"HAGLER, HOLLY",ABERMUDEZ@SENIORSERV.ORG,(714)220-1406,(714) 220-2114,400,ORANGE,6,ORANGE COUNTY,Y,60000244,"COMMUNITY SENIORSERV, INC.",22-Aug-88,22-Nov-15,,NONPROFIT CORP,33.8487,-117.978987,"(33.8487, -117.978987)",,1156,N KNOLLWOOD CIR,30,ORANGE,59
60000837,MANORCARE HEALTH SERVICES (FOUNTAIN VALLEY),SNF,SKILLED NURSING FACILITY,LTC,151,11680 WARNER AVE,FOUNTAIN VALLEY,92708,"KIEU, TRIET",387ADMIN@HCR-MANORCARE.COM,(714) 966-1654,(714) 241-9800,400,ORANGE,6,ORANGE COUNTY,Y,60000249,"MANOR CARE OF FOUNTAIN VALLEY CA, LLC",14-Dec-88,1-Apr-16,,LIMITED LIABILITY COMPANY,33.716276,-117.925353,"(33.716276, -117.925353)",206304010,11680,WARNER AVE,30,ORANGE,59
60000839,FREEDOM VILLAGE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,52,23442 EL TORO RD,LAKE FOREST,92630,"NIBLETT, JOEL",JNIBLETT@FREEDOMVILLAGE.ORG,(949) 340-8116,(949) 472-4733,400,ORANGE,6,ORANGE COUNTY,Y,60000246,"CASA PACIFICA, A CALIFORNIA PARTNERSHIP",2-Sep-88,2-Nov-15,,PARTNERSHIP,33.622504,-117.697878,"(33.622504, -117.697878)",206304020,23442,EL TORO RD,30,ORANGE,59
60000858,CAREMERIDIAN,CLHF,CONGREGATED LIVING HEALTH FACILITY,LTC,9,10631 COWAN HEIGHTS DR,SANTA ANA,92705,"COWER, KATHERINE",,(714) 731-0133,(714) 731-7263,400,ORANGE,6,ORANGE COUNTY,Y,60000270,"CAREMERIDIAN, LLC",20-Jan-89,31-May-16,,LIMITED LIABILITY COMPANY,33.773475,-117.78108,"(33.773475, -117.78108)",206304027,10631,COWAN HEIGHTS DR,30,ORANGE,59
60000865,DIGESTIVE DISEASE CENTER,ASC,"SURGICAL CLINIC 	",Non-LTC,0,24411 HEALTH CENTER DR,LAGUNA HILLS,92653,"DONNER, BARRY",,(949) 586-9386,(949) 586-9386,400,ORANGE,6,ORANGE COUNTY,Y,60000442,DIGESTIVE DISEASE CENTER,15-Feb-96,15-Feb-08,,PARTNERSHIP,33.608667,-117.707786,"(33.608667, -117.707786)",,24411,HEALTH CENTER DR,30,ORANGE,59
60000876,VILLA VALENCIA,SNF,SKILLED NURSING FACILITY,LTC,59,24552 PASEO DE VALENCIA,LAGUNA HILLS,92653,"ALLEN, ELIZABETH  E",LICENSING@5SQC.COM,(949)609-7519,(949) 581-6111,400,ORANGE,6,ORANGE COUNTY,Y,60000296,"SNH SE TENANT TRS, INC.",10-Nov-93,1-Nov-15,,PROFIT CORP,33.605933,-117.704905,"(33.605933, -117.704905)",206304068,24552,PASEO DE VALENCIA,30,ORANGE,59
60000877,ORANGE CO INSTITUTE OF GASTROENTEROLOGY &ENDOSCOPY,ASC,"SURGICAL CLINIC 	",Non-LTC,0,26732 CROWN VALLEY PKWY,MISSION VIEJO,92691,"MOATAZEDI, DINA",,(949) 364-0226,(949) 364-2611,400,ORANGE,6,ORANGE COUNTY,Y,60000405,,14-Feb-94,14-Dec-08,,PROFIT CORP,33.563463,-117.665501,"(33.563463, -117.665501)",,26732,CROWN VALLEY PKWY,30,ORANGE,59
60000879,"ALERE WOMEN'S AND CHILDREN'S HEALTH, LLC",HHA,"HOME HEALTH AGENCY		",Non-LTC,0,"3110 W. LAKE CENTER DR., MAILBOX CA152-0110",SANTA ANA,92704,"BARDSLEY, SUZANNE",SUZANNE.BARDSLEY@ALERE.COM,(714)445-0363,(714)445-0312,400,ORANGE,6,ORANGE COUNTY,Y,60000257,"ALERE WOMEN'S AND CHILDREN'S HEALTH, LLC",17-Nov-89,18-Nov-15,,LIMITED LIABILITY COMPANY,33.699206,-117.912761,"(33.699206, -117.912761)",,3110,"W. LAKE CENTER DR., MAILBOX CA152-0110",30,ORANGE,59
60000912,LAC/HARBOR-UCLA MEDICAL CENTER,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,1000 W CARSON ST,TORRANCE,90502,,,,,200,LOS ANGELES,6,ORANGE COUNTY,N,60000129,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1-Jul-53,1-May-16,,COUNTY,33.831559,-118.294558,"(33.831559, -118.294558)",,1000,W CARSON ST,19,LOS ANGELES,37
60000917,LAC+USC MEDICAL CENTER,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,1200 N STATE ST,LOS ANGELES,90033,,,,,200,LOS ANGELES,6,ORANGE COUNTY,N,60000130,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1-Jul-53,1-Apr-16,,COUNTY,34.060748,-118.20895,"(34.060748, -118.20895)",,1200,N STATE ST,19,LOS ANGELES,37
60000920,ANAHEIM GLOBAL MEDICAL CENTER,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,1025 S ANAHEIM BLVD,ANAHEIM,92805,,,,,400,ORANGE,6,ORANGE COUNTY,N,60000117,"ANAHEIM GLOBAL MEDICAL CENTER, INC.",29-Dec-72,8-Mar-16,,PROFIT CORP,33.820553,-117.909071,"(33.820553, -117.909071)",,1025,S ANAHEIM BLVD,30,ORANGE,59
60000921,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,101 THE CITY DR S,ORANGE,92868,,,,,400,ORANGE,6,ORANGE COUNTY,N,60000148,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,,1-Nov-15,,UC REGENT,33.786192,-117.888881,"(33.786192, -117.888881)",,101,THE CITY DR S,30,ORANGE,59
60000922,MISSION HOSPITAL LAGUNA BEACH,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,31872 COAST HWY,LAGUNA BEACH,92651,,,,,400,ORANGE,6,ORANGE COUNTY,N,60000146,MISSION HOSPITAL REGIONAL MEDICAL CENTER,10-Aug-71,18-Mar-16,,NONPROFIT CORP,33.499727,-117.74224,"(33.499727, -117.74224)",,31872,COAST HWY,30,ORANGE,59
60000923,WEST ANAHEIM EXTENDED CARE,SNF,SKILLED NURSING FACILITY,LTC,138,645 S BEACH BLVD,ANAHEIM,92804,"MEYER, DONNA",DONNA@WESTANAHEIMEC.COM,(714) 821-0130,(714) 821-1993,400,ORANGE,6,ORANGE COUNTY,Y,60000255,WEST ANAHEIM EXTENDED CARE,6-Mar-92,1-May-16,,PARTNERSHIP,33.823329,-117.993449,"(33.823329, -117.993449)",,645,S BEACH BLVD,30,ORANGE,59
60000924,LAC+USC MEDICAL CENTER,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,12021 WILMINGTON AVE,LOS ANGELES,90059,,,,,200,LOS ANGELES,6,ORANGE COUNTY,N,60000130,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1-Jul-53,1-Apr-16,,COUNTY,33.923582,-118.239167,"(33.923582, -118.239167)",,12021,WILMINGTON AVE,19,LOS ANGELES,37
60000925,HUNTINGTON BEACH HOSPITAL,PPSPSCH,UNLICENSED/OTHER/MISSING,Non-LTC,0,17772 BEACH BLVD,HUNTINGTON BEACH,92647,,,,,400,ORANGE,6,ORANGE COUNTY,N,60000124,"PRIME HEALTHCARE HUNTINGTON BEACH, LLC",24-Jan-68,30-Nov-15,,LIMITED LIABILITY COMPANY,33.703988,-117.989031,"(33.703988, -117.989031)",,17772,BEACH BLVD,30,ORANGE,59
60000933,"INDEPENDENT OPTIONS, INC. HARBOR VILLAGE I",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2532 SANTA CATALINA DR,COSTA MESA,92626,"BURGONIO, ANTOINETTE",IO@INDEPENDENTOPTIONS.ORG,(951) 279-4860,(714) 434-1276,400,ORANGE,6,ORANGE COUNTY,Y,60000256,"INDEPENDENT OPTIONS, INC.",13-Nov-89,13-Nov-15,,PROFIT CORP,33.665767,-117.922829,"(33.665767, -117.922829)",,2532,SANTA CATALINA DR,30,ORANGE,59
